year,series,value,unit,source_file,source_sha256,pdf_page,table_or_figure_caption,definition,note,derived,script,pdf_page_note
2023,pie_tea_strict,47551.0,students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,Estudiantes matriculados en PIE con NEE permanente 'Trastorno del Espectro Autista (P)' (establecimientos funcionando),Registro administrativo para subvención; no incluye a todo el estudiantado autista (nota SINACES p.8),False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,pie_tea_strict_female,9461.0,students,APUNTES_59_2024_PIE_sexo_2023.pdf,ccb10e54c1dc9ec2b96d59e2943082663721840b84199bb3de61922d5d2a41b5,5,Tabla 2. Cantidad de estudiantes en el PIE según tipo de integración y género,"pie_tea_strict 2023, género femenino",Publicado 19.9% del tipo de integración; solo estudiantes con información de género,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,pie_tea_strict_female_share_pct,19.9,percent,APUNTES_59_2024_PIE_sexo_2023.pdf,ccb10e54c1dc9ec2b96d59e2943082663721840b84199bb3de61922d5d2a41b5,5,Tabla 2. Cantidad de estudiantes en el PIE según tipo de integración y género,100 × femenino / (femenino + masculino),Publicado 19.9%,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,pie_tea_strict_male,38090.0,students,APUNTES_59_2024_PIE_sexo_2023.pdf,ccb10e54c1dc9ec2b96d59e2943082663721840b84199bb3de61922d5d2a41b5,5,Tabla 2. Cantidad de estudiantes en el PIE según tipo de integración y género,"pie_tea_strict 2023, género masculino",Publicado 80.1% del tipo de integración; solo estudiantes con información de género,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2019,pie_tea_strict_share_of_pie_pct,3.077,percent of PIE students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,100 × TEA (P) / total PIE,Calculado; comparar con Gráfico 3 p.10,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2020,pie_tea_strict_share_of_pie_pct,3.968,percent of PIE students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,100 × TEA (P) / total PIE,Calculado; comparar con Gráfico 3 p.10,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2021,pie_tea_strict_share_of_pie_pct,4.739,percent of PIE students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,100 × TEA (P) / total PIE,Calculado; comparar con Gráfico 3 p.10,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2022,pie_tea_strict_share_of_pie_pct,6.574,percent of PIE students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,100 × TEA (P) / total PIE,Calculado; comparar con Gráfico 3 p.10,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,pie_tea_strict_share_of_pie_pct,10.053,percent of PIE students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,100 × TEA (P) / total PIE,Calculado; comparar con Gráfico 3 p.10,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2019,pie_tea_strict_share_of_pie_pct_published,3.1,percent of PIE students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,10,Gráfico 3. Tipo de integración (%),Porcentaje publicado de 'Trastorno del Espectro Autista (P)' sobre el total PIE,"Valor redondeado a 0,1 pp en el gráfico",False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2020,pie_tea_strict_share_of_pie_pct_published,4.0,percent of PIE students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,10,Gráfico 3. Tipo de integración (%),Porcentaje publicado de 'Trastorno del Espectro Autista (P)' sobre el total PIE,"Valor redondeado a 0,1 pp en el gráfico",False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2021,pie_tea_strict_share_of_pie_pct_published,4.7,percent of PIE students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,10,Gráfico 3. Tipo de integración (%),Porcentaje publicado de 'Trastorno del Espectro Autista (P)' sobre el total PIE,"Valor redondeado a 0,1 pp en el gráfico",False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2022,pie_tea_strict_share_of_pie_pct_published,6.6,percent of PIE students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,10,Gráfico 3. Tipo de integración (%),Porcentaje publicado de 'Trastorno del Espectro Autista (P)' sobre el total PIE,"Valor redondeado a 0,1 pp en el gráfico",False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,pie_tea_strict_share_of_pie_pct_published,10.1,percent of PIE students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,10,Gráfico 3. Tipo de integración (%),Porcentaje publicado de 'Trastorno del Espectro Autista (P)' sobre el total PIE,"Valor redondeado a 0,1 pp en el gráfico",False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2022,pie_total_applicants_sinaces,438783.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,9,Tabla 2. Estudiantes autistas postulados al PIE 2022 – 2025.,Total de postulantes al PIE (todas las NEE),Definición 'postulantes' (SINACES) ≠ 'matriculados/integrados' (Apuntes 60); 2022: 438.783 vs 438.760,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,pie_total_applicants_sinaces,473006.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,9,Tabla 2. Estudiantes autistas postulados al PIE 2022 – 2025.,Total de postulantes al PIE (todas las NEE),Definición 'postulantes' (SINACES) ≠ 'matriculados/integrados' (Apuntes 60); 2022: 438.783 vs 438.760,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2024,pie_total_applicants_sinaces,499110.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,9,Tabla 2. Estudiantes autistas postulados al PIE 2022 – 2025.,Total de postulantes al PIE (todas las NEE),Definición 'postulantes' (SINACES) ≠ 'matriculados/integrados' (Apuntes 60); 2022: 438.783 vs 438.760,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2025,pie_total_applicants_sinaces,475710.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,9,Tabla 2. Estudiantes autistas postulados al PIE 2022 – 2025.,Total de postulantes al PIE (todas las NEE),Definición 'postulantes' (SINACES) ≠ 'matriculados/integrados' (Apuntes 60); 2022: 438.783 vs 438.760,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2019,pie_total_enrolment,385995.0,students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,Total de estudiantes integrados/as en el PIE (todas las NEE),Denominador para expresar TEA como proporción de la matrícula PIE; coincide con Tablas 2–5 y prosa p.2,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2020,pie_total_enrolment,343059.0,students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,Total de estudiantes integrados/as en el PIE (todas las NEE),Denominador para expresar TEA como proporción de la matrícula PIE; coincide con Tablas 2–5 y prosa p.2,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2021,pie_total_enrolment,396765.0,students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,Total de estudiantes integrados/as en el PIE (todas las NEE),Denominador para expresar TEA como proporción de la matrícula PIE; coincide con Tablas 2–5 y prosa p.2,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2022,pie_total_enrolment,438760.0,students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,Total de estudiantes integrados/as en el PIE (todas las NEE),Denominador para expresar TEA como proporción de la matrícula PIE; coincide con Tablas 2–5 y prosa p.2,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,pie_total_enrolment,473006.0,students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,Total de estudiantes integrados/as en el PIE (todas las NEE),Denominador para expresar TEA como proporción de la matrícula PIE; coincide con Tablas 2–5 y prosa p.2,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,pie_total_enrolment_female,189454.0,students,APUNTES_59_2024_PIE_sexo_2023.pdf,ccb10e54c1dc9ec2b96d59e2943082663721840b84199bb3de61922d5d2a41b5,5,Tabla 2. Cantidad de estudiantes en el PIE según tipo de integración y género,"pie_total_enrolment 2023, género femenino",Publicado 40.1% del tipo de integración; solo estudiantes con información de género,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,pie_total_enrolment_female_share_pct,40.05,percent,APUNTES_59_2024_PIE_sexo_2023.pdf,ccb10e54c1dc9ec2b96d59e2943082663721840b84199bb3de61922d5d2a41b5,5,Tabla 2. Cantidad de estudiantes en el PIE según tipo de integración y género,100 × femenino / (femenino + masculino),Publicado 40.1%,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,pie_total_enrolment_male,283550.0,students,APUNTES_59_2024_PIE_sexo_2023.pdf,ccb10e54c1dc9ec2b96d59e2943082663721840b84199bb3de61922d5d2a41b5,5,Tabla 2. Cantidad de estudiantes en el PIE según tipo de integración y género,"pie_total_enrolment 2023, género masculino",Publicado 59.9% del tipo de integración; solo estudiantes con información de género,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2022,sinaces_total_autistic_students,45014.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,8,Tabla 1. Estudiantes autistas en el sistema educativo 2022-202,Total = Escuela Especial de Autismo + PIE,,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,sinaces_total_autistic_students,65940.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,8,Tabla 1. Estudiantes autistas en el sistema educativo 2022-202,Total = Escuela Especial de Autismo + PIE,,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2024,sinaces_total_autistic_students,88980.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,8,Tabla 1. Estudiantes autistas en el sistema educativo 2022-202,Total = Escuela Especial de Autismo + PIE,,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2025,sinaces_total_autistic_students,109412.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,8,Tabla 1. Estudiantes autistas en el sistema educativo 2022-202,Total = Escuela Especial de Autismo + PIE,,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2022,sinaces_total_minus_special,42940.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,8,Tabla 1. Estudiantes autistas en el sistema educativo 2022-202,Total − Escuela Especial de Autismo (derivado),2022: 42.940 ≠ 42.945 impreso en PIE (discrepancia de 5 casos),True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,sinaces_total_minus_special,63642.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,8,Tabla 1. Estudiantes autistas en el sistema educativo 2022-202,Total − Escuela Especial de Autismo (derivado),2022: 42.940 ≠ 42.945 impreso en PIE (discrepancia de 5 casos),True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2024,sinaces_total_minus_special,86475.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,8,Tabla 1. Estudiantes autistas en el sistema educativo 2022-202,Total − Escuela Especial de Autismo (derivado),2022: 42.940 ≠ 42.945 impreso en PIE (discrepancia de 5 casos),True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2025,sinaces_total_minus_special,106786.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,8,Tabla 1. Estudiantes autistas en el sistema educativo 2022-202,Total − Escuela Especial de Autismo (derivado),2022: 42.940 ≠ 42.945 impreso en PIE (discrepancia de 5 casos),True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2022,special_schools_autism,2074.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,8,Tabla 1. Estudiantes autistas en el sistema educativo 2022-202,Estudiantes matriculados en Escuelas Especiales de Autismo,"Excluye escuelas especiales de otro tipo y establecimientos regulares sin PIE (nota 3, p.8)",False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,special_schools_autism,2298.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,8,Tabla 1. Estudiantes autistas en el sistema educativo 2022-202,Estudiantes matriculados en Escuelas Especiales de Autismo,"Excluye escuelas especiales de otro tipo y establecimientos regulares sin PIE (nota 3, p.8)",False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2024,special_schools_autism,2505.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,8,Tabla 1. Estudiantes autistas en el sistema educativo 2022-202,Estudiantes matriculados en Escuelas Especiales de Autismo,"Excluye escuelas especiales de otro tipo y establecimientos regulares sin PIE (nota 3, p.8)",False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2025,special_schools_autism,2626.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,8,Tabla 1. Estudiantes autistas en el sistema educativo 2022-202,Estudiantes matriculados en Escuelas Especiales de Autismo,"Excluye escuelas especiales de otro tipo y establecimientos regulares sin PIE (nota 3, p.8)",False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
