"key","kind","doi","url","verification_method","verification_url","accessed","priority","why_needed","status"
"yanez2021","article","10.32641/andespediatr.v92i4.2503","https://doi.org/10.32641/andespediatr.v92i4.2503","PubMed esummary (PMID 34652369) + Crossref DOI resolution || RE-AUDIT 2026-09-04: Crossref: Spanish title/authors(8)/Andes Pediatrica 92(4):519-525/2021 match; PubMed PMID 34652369 agrees","https://api.crossref.org/works/10.32641/andespediatr.v92i4.2503","2026-09-04","core","Only published prevalence estimate for Chile (urban population, M-CHAT + ADOS-2); benchmark for administrative recognition rates. Existing bib entry lacks the DOI and its SciELO URL could not be verified (HTTP 522) - replace URL with DOI.","audited"
"romanurrestarazu2025","article","10.1177/13623613251342310","","PubMed esummary (PMID 40757983) + Crossref DOI resolution || RE-AUDIT 2026-09-04: Crossref: title/authors(15)/Autism 29(10):2501-2512/2025 match; PubMed PMID 40757983 agrees","https://api.crossref.org/works/10.1177/13623613251342310","2026-09-04","core","Peer-reviewed Chilean study using school (PIE/special-education) linkage data to estimate autism prevalence; the closest precedent for the education arm of the multisource design.","audited"
"montielnava2024","article","10.1177/13623613221147345","","PubMed esummary (PMID 36602228) + Crossref DOI resolution || RE-AUDIT 2026-09-04: Crossref: title/authors(10)/Autism 28(1):58-72, print 2024 (online 2023) match; PubMed PMID 36602228 agrees","https://api.crossref.org/works/10.1177/13623613221147345","2026-09-04","core","Regional (six-country, includes Chile) evidence on diagnostic delay and the role of public health coverage; frames Chile within Latin America.","audited"
"paula2011","article","10.1007/s10803-011-1200-6","","PubMed esummary (PMID 21337063) + Crossref DOI resolution || RE-AUDIT 2026-09-04: Crossref: title/authors(4)/J Autism Dev Disord 41(12):1738-1742/2011 match; PubMed PMID 21337063 agrees","https://api.crossref.org/works/10.1007/s10803-011-1200-6","2026-09-04","core","One of the few population-based prevalence studies from Latin America (Brazil).","audited"
"fombonne2016","article","10.1007/s10803-016-2696-6","","PubMed esummary (PMID 26797939) + Crossref DOI resolution || RE-AUDIT 2026-09-04: Crossref: title/authors(8)/J Autism Dev Disord 46(5):1669-1685/2016 match; PubMed PMID 26797939 agrees","https://api.crossref.org/works/10.1007/s10803-016-2696-6","2026-09-04","core","Population-based prevalence survey from Mexico; Latin American comparator for Chilean estimates.","audited"
"ley21545","law","","https://www.bcn.cl/leychile/navegar?idNorma=1190123","Official Diario Oficial PDF downloaded and read with pdftotext (title, law number, edition 43.498, date 10-03-2023 confirmed) + BCN Ley Chile XML service (fechaPromulgacion 2023-03-02, fechaPublicacion 2023-03-10, Organismo MINISTERIO DE SALUD) || RE-AUDIT 2026-09-04: Diario Oficial PDF re-fetched (HTTP 200, 7 pages) and read with pdftotext: 'Núm. 43.498 | Viernes 10 de Marzo de 2023', 'CVE 2284193', 'MINISTERIO DE SALUD', 'LEY NÚM. 21.545 ESTABLECE LA PROMOCIÓN DE LA INCLUSIÓN, LA ATENCIÓN INTEGRAL, Y LA PROTECCIÓN DE LOS DERECHOS DE LAS PERSONAS CON TRASTORNO DEL ESPECTRO AUTISTA EN EL ÁMBITO SOCIAL, DE SALUD Y EDUCACIÓN'; BCN Ley Chile XML (normaId 1190123) re-fetched: fechaPromulgacion 2023-03-02, fechaPublicacion 2023-03-10, Organismo MINISTERIO DE SALUD","https://www.diariooficial.interior.gob.cl/publicaciones/2023/03/10/43498/01/2284193.pdf","2026-09-04","core","The policy event (Ley TEA) whose implementation period the surveillance window spans; exact title and dates verified. Existing bib entry is correct; add bcn.cl URL alongside the Diario Oficial PDF.","audited"
"minsal2011","guideline","","https://www.senadis.gob.cl/descarga/i/238/documento","Official copy hosted by SENADIS (Servicio Nacional de la Discapacidad, gob.cl) downloaded (HTTP 200, application/pdf) and read with pdftotext; front matter reads 'MINISTERIO DE SALUD. Guía de Práctica Clínica de Detección y Diagnóstico Oportuno de los Trastornos del Espectro Autista (TEA). Santiago: MINSAL, 2011' || RE-AUDIT 2026-09-04: SENADIS PDF re-fetched (HTTP 200, application/pdf, 3.3 MB) and read with pdftotext: cover 'GUÍA DE PRÁCTICA CLÍNICA DE DETECCIÓN Y DIAGNÓSTICO OPORTUNO DE LOS TRASTORNOS DEL ESPECTRO AUTISTA (TEA)', elaborated by Departamento de Discapacidad y Rehabilitación / División de Prevención y Control de Enfermedades / Subsecretaría de Salud Pública / Ministerio de Salud de Chile; imprint 'Santiago: MINSAL, 2011'","https://www.senadis.gob.cl/descarga/i/238/documento","2026-09-04","core","National clinical guideline defining detection/diagnosis pathway (0-4 y 11 m, Chile Crece Contigo) that shapes administrative recognition in the health system. Note: the minsal.cl URL (https://www.minsal.cl/portal/url/item/bd81e3a09ab6c3cee040010164012ac2.pdf) returned 403/404 on 2026-09-04; cite the SENADIS copy or the U. de Chile repository record (https://repositorioslatinoamericanos.uchile.cl/handle/2250/377145).","audited"
"becerril2011","article","","https://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000800009","PubMed efetch XML (PMID 21877079; VernacularTitle 'Sistema de salud de Chile', PII S0036-36342011000800009) + SciELO México article page fetched || RE-AUDIT 2026-09-04: PubMed efetch PMID 21877079 re-fetched (VernacularTitle 'Sistema de salud de Chile', Salud Publica Mex 2011;53 Suppl 2:s132-43; authors Becerril-Montekio V, Reyes Jde D, Manuel A); SciELO HTML lists lastpage s142 but the SciELO PDF (/pdf/spm/v53s2/09.pdf) self-citation reads 'Salud Publica Mex 2011;53 supl 2:S132-S143' and the last page is numbered S143 -> pages s132-s143 retained","https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=21877079&retmode=xml","2026-09-04","core","Standard peer-reviewed description of the Chilean health system and FONASA/ISAPRE segmentation. No DOI is registered in PubMed or Crossref for this article - cite without DOI.","audited"
"cid2024","article","10.26633/RPSP.2024.67","","PubMed esummary (PMID 39247390; English title '[Using diagnosis-related groups in Chile: lessons and challenges]') + Crossref DOI resolution || RE-AUDIT 2026-09-04: Crossref: Spanish title/authors(5)/Rev Panam Salud Publica 48/2024 match (Crossref page field '1' is a deposit artefact); PubMed PMID 39247390 confirms e67","https://api.crossref.org/works/10.26633/RPSP.2024.67","2026-09-04","core","Peer-reviewed account of Chile's GRD (IR-GRD) programme: FONASA payment mechanism since 2020, 68 hospitals by 2023; essential to describe the GRD data source and its coverage.","audited"
"garcia2022","article","10.32641/andespediatr.v93i3.3994","","PubMed esummary (PMID 35857006) + Crossref DOI resolution || RE-AUDIT 2026-09-04: Crossref: Spanish title/authors(13)/Andes Pediatrica 93(3):351-360/2022 match (Crossref gives 'Cabezas González', PubMed 'Cabezas M'); PubMed PMID 35857006 agrees","https://api.crossref.org/works/10.32641/andespediatr.v93i3.3994","2026-09-04","core","Chilean caregiver survey on access to health and education services (public vs private), satisfaction and stigma - direct evidence on service access gaps by insurance sector.","audited"
"irarrazaval2023","article","10.32641/andespediatr.v94i4.4837","","PubMed esummary (PMID 39808550) + Crossref DOI resolution || RE-AUDIT 2026-09-04: Crossref: Spanish title/Irarrázaval Domínguez/Andes Pediatrica 94(4):419-420/2023 match; PubMed PMID 39808550 agrees","https://api.crossref.org/works/10.32641/andespediatr.v94i4.4837","2026-09-04","core","Peer-reviewed editorial on Ley 21.545 implementation challenges - the verified substitute for the (non-existent) Lancet commentary o[INPUT TRUNCATED HERE]","audited"
"unverified_wynn_et_al_on_number_of_diagnosis_fields","candidate","","","","","2026-09-04","","CANDIDATE: Wynn et al. on number of diagnosis fields in administrative data (task list: 'Preen/Wynn on number of diagnosis fields') | REASON NOT VERIFIED: No Wynn paper about the number of diagnosis fields could be found. The only administrative-data paper by a Wynn located in PubMed is Wynn A, Wise M, Wright MJ, et al. 'Accuracy of administrative and trauma registry databases.' J Trauma 2001;51(3):464-8 (PMID 11535892, DOI 10.1097/00005373-200109000-00007); its abstract (fetched via efetch) concerns under-recording of injuries/procedures versus a trauma registry and does not address the number of diagnosis fields, so it was not included. Iezzoni 1992 (JAMA) and Romano & Mark 1994 cover the number-of-diagnosis-codes issue instead.","unverified"
"unverified_preen_et_al_paper_specifically_on_number","candidate","","","","","2026-09-04","","CANDIDATE: Preen et al. paper specifically on number of diagnosis fields | REASON NOT VERIFIED: Only Preen 2006 (lookback period) was found and verified; no Preen paper on the number of diagnosis fields was identified in PubMed searches this session. Not included beyond preen2006.","unverified"
"minsal_rem","misc","","https://deis.minsal.cl/#datosabiertos","Official landing page fetched with curl (deis.minsal.cl, <title> 'Departamento de Estadisticas e Información de Salud', tab 'Datos Abiertos'); DEIS FAQ page verbatim: 'En la sección de datos abiertos es posible encontrar las bases del REM desde el año 2009 hasta el 2024'; HTTP HEAD 200 on https://repositoriodeis.minsal.cl/DatosAbiertos/REM/SERIE_REM_2019.zip (Last-Modified 2024-06-14), SERIE_REM_2024.zip (2025-08-04) and SERIE_REM_2025.zip (2026-06-10); local zip listing shows Datos/SerieA2024.csv, Datos/SerieP2024.csv and Diccionarios/DICCIONARIO CODIGOS SA_24_V1.1.xlsm / SP_24_V1.1.xlsm || RE-AUDIT 2026-09-04: deis.minsal.cl home and /faqs/ re-fetched with curl (HTTP 200): home <title> 'Departamento de Estadisticas e Información de Salud', section 'Datos Abiertos'; FAQ verbatim 'Reporte Estadístico Mensual (REM)' and 'En la sección de datos abiertos es posible encontrar las bases del REM desde el año 2009 hasta el 2024'; HTTP HEAD 200 on SERIE_REM_2019.zip (Last-Modified 2024-06-14), SERIE_REM_2024.zip (2025-08-04), SERIE_REM_2025.zip (2026-06-10); local /Volumes/Datos/Asesorias_Data/REM/SerieA/sources/official_zips/SERIE_REM_2024.zip lists Datos/SerieA2024.csv, Datos/SerieP2024.csv, Diccionarios/DICCIONARIO CODIGOS SA_24_V1.1.xlsm and SP_24_V1.1.xlsm. Title rewritten from verbatim page/FAQ labels and verified file names; corporate author braced; verification_url and priority added","https://deis.minsal.cl/faqs/","2026-09-04","core","Primary ambulatory source (REM Serie A form A05 mental-health programme admissions with autism codes; Serie P population under control). Existing bib entry minsal_rem is essentially correct but should add the URL, access date and note that Serie P ships in the same SERIE_REM zips; DEIS labels the product 'Reporte Estadístico Mensual (REM)' on its FAQ.","audited"
"deis_egresos","misc","","https://deis.minsal.cl/#datosabiertos","DEIS FAQ page fetched with curl, verbatim: 'En la sección de datos abiertos, se pueden encontrar las bases de datos de egresos hospitalarios desde el año 2001 hasta el 2023'; HTTP HEAD 200 on https://repositoriodeis.minsal.cl/DatosAbiertos/Egresos/Egresos_2019.zip (Last-Modified 2023-10-17) and Egresos_2023.zip (Last-Modified 2024-05-06) || RE-AUDIT 2026-09-04: deis.minsal.cl/faqs/ re-fetched with curl (HTTP 200), verbatim 'En la sección de datos abiertos, se pueden encontrar las bases de datos de egresos hospitalarios desde el año 2001 hasta el 2023'; HTTP HEAD 200 on https://repositoriodeis.minsal.cl/DatosAbiertos/Egresos/Egresos_2019.zip (Last-Modified 2023-10-17) and Egresos_2023.zip (2024-05-06). Title rewritten to the verbatim FAQ wording plus verified file names; corporate author braced","https://deis.minsal.cl/faqs/","2026-09-04","supporting","Official DEIS hospital-discharge (egresos) open data, useful to contrast with the FONASA GRD files actually analysed and to document coverage (all establishments, to 2023 only).","audited"
"fonasa_grd","misc","","https://datosabiertos.fonasa.cl/dimensiones-financiamientos/","Official landing page fetched with curl (<title> 'Financiamientos – Datos Abiertos'; section 'FINANCIAMIENTO Y GASTOS EN SALUD ... información de los hospitales adscritos a grupos relacionados'; TABLEROS INTERACTIVOS links to https://public.tableau.com/views/PropuestaTableroGRD/PropuestaTableroGRD); HTTP HEAD 200 on https://www.fonasa.cl/assets/datos-abiertos/Financiamiento_y_Gasto_en_Salud/GRD_PUBLICO_2024.zip (Last-Modified 2025-07-10) and GRD_PUBLICO_2019%20.zip (2024-07-18); local download manifest (2026-09-04) records CIE-10.xlsx, CIE-9 .xlsx and 'Tablas maestras bases GRD .xlsx' from the same path || RE-AUDIT 2026-09-04: landing page re-fetched with curl (HTTP 200; <title> 'Financiamientos – Datos Abiertos'; heading 'FINANCIAMIENTO Y GASTOS EN SALUD'; Tableau link PropuestaTableroGRD); HTTP HEAD 200 (following fonasa.cl -> adjuntos.fonasa.gob.cl redirects) on GRD_PUBLICO_2019%20.zip (Last-Modified 2024-07-18), GRD_PUBLICO_2020.rar (2024-07-27; the .zip name returns 404 for 2020), GRD_PUBLICO_2021.zip (2024-07-27), GRD_PUBLICO_2022.zip (2024-07-27), GRD_PUBLICO_2023.zip (2024-11-04), GRD_PUBLICO_2024.zip (2025-07-10); local manifest confirms CIE-10.xlsx, CIE-9 .xlsx and Tablas maestras bases GRD .xlsx from the same path. Title tightened to verbatim page labels and verified file names; author braced","https://datosabiertos.fonasa.cl/dimensiones-financiamientos/","2026-09-04","core","This is the verified provenance of the IR-GRD public-hospital discharge files 2019–2024 used in the study. The existing bib entry minsal_grd attributes the files to 'Departamento de Estadísticas e Información de Salud y Unidad GRD' with no URL; the files and dashboard are published by FONASA's open-data portal, so the entry should be re-attributed (or DEIS/MINSAL cited as data producer with FONASA as publisher).","audited"
"fonasa_beneficiarios","misc","","https://datosabiertos.fonasa.cl/dimensiones-beneficiarios/","Official landing page fetched with curl (<title> 'Beneficiarios – Datos Abiertos'; text: 'información relativa a los beneficiarios Fonasa e inscritos en establecimientos de Atención Primaria ... indicadores estadísticos, informes, tableros interactivos y bases de datos'; 'Evolución Anual Población Beneficiaria Información Actualizada a Diciembre 2025'; links to https://public.tableau.com/views/Beneficiarios_16704273822880/Reporte); HTTP HEAD 200 on https://www.fonasa.cl/assets/datos-abiertos/Beneficiarios/Base%20Beneficiarios%202024.zip (Last-Modified 2025-03-05) || RE-AUDIT 2026-09-04: landing page re-fetched with curl (HTTP 200; <title> 'Beneficiarios – Datos Abiertos'; 'Evolución Anual Población Beneficiaria Información Actualizada a Diciembre 2025'; Tableau link Beneficiarios_16704273822880/Reporte); HTTP HEAD 200 on Base%20Beneficiarios%202024.zip (Last-Modified 2025-03-05); local manifest records Base Beneficiarios 2018–2023 zips, Resultados Beneficiarios 201812–202512 and Diccionario beneficiarios.xlsx from www.fonasa.cl/assets/datos-abiertos/Beneficiarios/. Title normalised to verified file names with year ranges; author braced","https://datosabiertos.fonasa.cl/dimensiones-beneficiarios/","2026-09-04","supporting","Denominator/coverage source for FONASA-insured population by commune, sex and age (public-system catchment) when interpreting public-sector rates.","audited"
"fonasa_aps","misc","","https://datosabiertos.fonasa.cl/dimensiones-beneficiarios/","FONASA Beneficiarios landing page fetched with curl lists heading 'Evolución Mensual Población Beneficiaria e Inscrita en Atención Primaria de Salud Información actualizada abril de 2026' and links the Tableau dashboard https://public.tableau.com/views/ReporteInscritosCentrosAPS/ReporteAPS?:showVizHome=no; HTTP HEAD 200 on https://www.fonasa.cl/assets/datos-abiertos/Beneficiarios/Inscritos%20APS%202024%2012.csv (text/csv, Last-Modified 2026-06-09); local manifest records Inscritos APS 2019–2025 files downloaded 2026-09-04 || RE-AUDIT 2026-09-04: landing page re-fetched with curl (HTTP 200): heading 'Evolución Mensual Población Beneficiaria e Inscrita en Atención Primaria de Salud Información actualizada abril de 2026' with href https://public.tableau.com/views/ReporteInscritosCentrosAPS/ReporteAPS?:showVizHome=no (HEAD 200, text/html); HTTP HEAD 200 on Inscritos%20APS%202024%2012.csv (text/csv, Last-Modified 2026-06-09); local manifest records Inscritos APS 2019–2025. url switched to the FONASA landing page (as recommended in why_needed) with the Tableau URL kept in howpublished; author braced","https://datosabiertos.fonasa.cl/dimensiones-beneficiarios/","2026-09-04","supporting","Primary-care (APS) enrolment by establishment/commune, the population base for REM ambulatory admissions; the Tableau viz itself cannot be rendered headlessly, so cite via the FONASA landing page.","audited"
"supersalud_isapre","misc","","https://www.superdesalud.gob.cl/tax-biblioteca-digital/estadisticas-3724/estadisticas-por-tema-3741/cartera-de-beneficiarios-3742/","WebFetch of archive page (<title> 'Cartera de Beneficiarios - Superintendencia de Salud') listing the seven annual items with publication dates (Dic 2019: 15/05/2020; 2020: 13/05/2021; 2021: 20/04/2022; 2022: 24/01/2023; 2023: 06/03/2024; 2024: 24/01/2025; 2025: 27/01/2026); WebFetch of the Diciembre 2024 item page: title 'Estadística Anual de Cartera de Beneficiarios del Sistema Isapre a Nivel Comunal – Diciembre 2024', published 24 de enero de 2025, description 'Contiene información descriptiva de la Cartera de Beneficiarios del Sistema Isapre a Nivel Comunal: Cotizantes y Cargas vigentes por Tramo de Edad y Sexo, para cada Región, Provincia y Comuna del país', file estadistica-anual-de-cartera-de-beneficiarios-comunal-2024.xlsx; Diciembre 2025 page likewise verified (published 27 de enero de 2026) || RE-AUDIT 2026-09-04: archive page and Diciembre 2024 item page re-fetched with curl (HTTP 200): list shows 'Estadística Anual de Cartera de Beneficiarios del Sistema Isapre a Nivel Comunal - Diciembre 2021..2025' dated 20/04/2022, 24/01/2023, 06/03/2024, 24/01/2025, 27/01/2026, and the older naming 'Beneficiarios de isapres por comunas a diciembre de 2019' (15/05/2020) and '... 2020' (13/05/2021); 2024 item h1 and description confirmed. Title corrected: both the 2019 and 2020 editions (not only 2019) carry the older title; author braced","https://www.superdesalud.gob.cl/biblioteca-digital/estadistica-anual-de-cartera-de-beneficiarios-del-sistema-isapre-a-nivel-comunal-diciembre-2024/","2026-09-04","supporting","Private-insurance (ISAPRE) beneficiaries by commune, age and sex, needed to quantify the share of the population outside the public system whose autism contacts are not captured by GRD/REM.","audited"
"ine2019","misc","","https://www.ine.gob.cl/estadisticas-por-tema/demografia-y-poblacion/estimaciones-y-proyecciones-de-poblacion","Official landing page fetched with curl and WebFetch (<title> 'Proyecciones de Población'; link texts verbatim: 'Estimaciones y proyecciones 2002-2035 base 2017 región área infografía', 'Estimaciones y proyecciones 2002-2035 base 2017 región área síntesis', 'Estimaciones y proyecciones 1992-2050 base 2017 país síntesis'); HTTP HEAD on the communal CSV https://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/cuadros-estadisticos/base-2017/ine_estimaciones-y-proyecciones-2002-2035_base-2017_comunas0381d25bc2224f51b9770a705a434b74.csv returns Last-Modified 2019-11-29, supporting year 2019; local manifest records both CSVs downloaded 2026-09-04 || RE-AUDIT 2026-09-04: landing page re-fetched with curl (HTTP 200; <title> 'Proyecciones de Población'; heading 'Estimaciones y Proyecciones de población'; base-2017 link texts as listed); HTTP HEAD 200 on https://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/cuadros-estadisticos/base-2017/ine_estimaciones-y-proyecciones-2002-2035_base-2017_comunas0381d25bc2224f51b9770a705a434b74.csv (Last-Modified 2019-11-29); local manifest records both communal CSVs. Metadata unchanged apart from formatting (braced author, verification_url, priority)","https://www.ine.gob.cl/estadisticas-por-tema/demografia-y-poblacion/estimaciones-y-proyecciones-de-poblacion","2026-09-04","core","Population denominators by commune, sex and single age (2017–2024) for all rates. The existing bib title ('...totales regionales, población urbana y rural y comunas, base Censo 2017') was NOT found verbatim on the INE page; use the page/file labels above and add URL + access date.","audited"
"ine_base2024","misc","","https://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/cuadros-estadisticos/proyecci%C3%B3n-base-2024/estimaciones-y-proyecciones-de-poblaci%C3%B3n-1992-2070_base-2024_base-de-datos.xlsx?sfvrsn=8e7df320_6","HTTP HEAD on the official INE file URL returns application/vnd.openxmlformats spreadsheet, Last-Modified 2026-01-28; file downloaded 2026-09-04 per local manifest (Poblacion/INE/Base_2024/). The INE landing page visible content lists only base-2017 items, so the product title is taken from the file name. || RE-AUDIT 2026-09-04: HTTP HEAD on the file URL returns 200, application/vnd.openxmlformats-officedocument.spreadsheetml.sheet, Content-Length 918408, Last-Modified 2026-01-28; INE landing page re-fetched (static HTML lists only base-2017 links; no base-2024 link text found), so the title remains the file name. verification_url set to the file URL itself; author braced","https://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/cuadros-estadisticos/proyecci%C3%B3n-base-2024/estimaciones-y-proyecciones-de-poblaci%C3%B3n-1992-2070_base-2024_base-de-datos.xlsx?sfvrsn=8e7df320_6","2026-09-04","optional","National projections rebased on Censo 2024, useful only for a sensitivity note on denominator revision; not essential.","audited"
"ine_censo2024","misc","","https://censo2024.ine.gob.cl/resultados/","WebFetch of https://censo2024.ine.gob.cl/ (title 'Censo 2024'; 'Población censada: 18.480.432'), https://censo2024.ine.gob.cl/resultados/ (title 'Resultados – Censo 2024'; lists 'Dashboard de indicadores', 'Redatam Web', 'Síntesis de Resultados') and https://censo2024.ine.gob.cl/estadisticas/ (title 'Estadísticas – Censo 2024'; table names verbatim incl. 'P1-Discapacidad' and 'D1_Poblacion-censada-por-sexo-y-edad-en-grupos-quinquenales'; page date 2025-06-29); HTTP HEAD 200 on both xlsx files (wp-content/uploads/2025/03/D1_... and 2025/06/P1-Discapacidad.xlsx) || RE-AUDIT 2026-09-04: censo2024.ine.gob.cl home, /resultados/ and /estadisticas/ re-fetched with curl (HTTP 200; titles 'Censo 2024', 'Resultados – Censo 2024', 'Estadísticas – Censo 2024'; 'Población censada 18.480.432'; 'Síntesis de Resultados'); /estadisticas/ links D1_Poblacion-censada-por-sexo-y-edad-en-grupos-quinquenales.xlsx (uploads/2025/03) and P1-Discapacidad.xlsx (uploads/2025/06), both in the local manifest. Metadata unchanged apart from formatting","https://censo2024.ine.gob.cl/estadisticas/","2026-09-04","supporting","Census 2024 counts by commune/sex/age and the disability module, for comparison with projected denominators and for context on population-level disability reporting.","audited"
"endide2022","report","","https://observatorio.ministeriodesarrollosocial.gob.cl/endide-2022","WebFetch of the Observatorio Social ENDIDE 2022 page (title 'Encuesta de Discapacidad y Dependencia 2022'; documents listed verbatim incl. 'Documento Metodológico ENDIDE Diseño Muestral y Medición Discapacidad', 'Libro de códigos Base de datos ENDIDE 2022 adultos, cuidadores(as) y NNA', 'Resultados ENDIDE 2022 Niños, Niñas y Adolescentes versión mayo 2023'); local PDF /Volumes/Datos/Asesorias_Data/Autism/Encuestas/ENDIDE_2022/metodologia_diseno_muestral_endide_2022.pdf read with pdftotext: cover 'Documento Metodológico / Septiembre 2023 / Documento elaborado por la división Observatorio Social de la Subsecretaría de Evaluación Social y el departamento de Evaluación y Estudios del Servicio Nacional de la Discapacidad / Encuesta Nacional de Discapacidad y Dependencia 2022'; SENADIS page https://www.senadis.gob.cl/pag/693/2004/iii_estudio_nacional_de_la_discapacidad (title 'III Estudio Nacional de la Discapacidad') also fetched; HTTP HEAD 200 on the microdata zip || RE-AUDIT 2026-09-04: Observatorio Social endide-2022 page re-fetched with curl (HTTP 200; heading 'Encuesta de Discapacidad y Dependencia 2022'; document 'Documento Metodológico ENDIDE Diseño Muestral y Medición Discapacidad' -> storage/docs/endide/Documento_Metodologico_ENDIDE_Diseno_Muestral_y_Medicion_Discapacidad.pdf, HEAD 200 application/pdf); local PDF /Volumes/Datos/Asesorias_Data/Autism/Encuestas/ENDIDE_2022/metodologia_diseno_muestral_endide_2022.pdf read with pdftotext: 'Documento Metodológico', 'Septiembre 2023', authorship note (División Observatorio Social / Departamento de Evaluación y Estudios SENADIS), 'Encuesta Nacional de Discapacidad y Dependencia 2022'. Two corporate authors braced and joined with 'and'; month 9 added; verification_url set to the PDF","https://observatorio.ministeriodesarrollosocial.gob.cl/storage/docs/endide/Documento_Metodologico_ENDIDE_Diseno_Muestral_y_Medicion_Discapacidad.pdf","2026-09-04","supporting","National disability/dependency survey 2022 (III ENDISC) — the survey-based reference for autism/disability self-report in children and adults against which administrative recognition is contrasted.","audited"
"encavi2023","misc","","https://datos.gob.cl/dataset/encavi-2023-24","datos.gob.cl CKAN API package_show?id=encavi-2023-24 returned title 'Encuesta Nacional de Calidad de Vida y Salud (ENCAVI) 2023-2024', organization 'Ministerio de Salud', author 'Departamento de Epidemiología', metadata_created 2025-08-12, license 'Creative Commons CCZero', resources 20250808_ENCAVI_data.dta/.sav/.RData, Cuestionario_ENCAVI_2023_2024.pdf, Manual_de_base_de_datos_ENCAVI_2023_2024.pdf; local manual PDF read with pdftotext gives the official citation 'Ministerio de Salud. Manual de uso de base de datos y libro de códigos. Encuesta Nacional de Calidad de Vida y Salud 2023-2024. Santiago de Chile; 2025. Disponible en: https://epi.minsal.cl/bases-de-datos'; epi.minsal.cl/encuesta-encavi/ fetched with curl (title 'ENCAVI – Encuesta Nacional de Calidad de Vida y Salud - EPI - Departamento de Epidemiologia') || RE-AUDIT 2026-09-04: CKAN package_show re-fetched (HTTP 200): title 'Encuesta Nacional de Calidad de Vida y Salud (ENCAVI) 2023-2024', organization 'Ministerio de Salud', author 'Departamento de Epidemiología', metadata_created 2025-08-12T21:04:17, licence Creative Commons CCZero, five resources as listed; local /Volumes/Datos/Asesorias_Data/Autism/Encuestas/ENCAVI_2023_2024/manual_base_ENCAVI_2023_2024.pdf read with pdftotext: cover 'ENCUESTA NACIONAL DE CALIDAD DE VIDA Y SALUD (ENCAVI) 2023-2024 / Manual de uso de base de datos y libro de códigos', 'Cómo citar este documento: Ministerio de Salud. ... Santiago de Chile; 2025'. Metadata unchanged apart from formatting (braced author)","https://datos.gob.cl/api/3/action/package_show?id=encavi-2023-24","2026-09-04","supporting","Population survey (16,590 respondents aged 15+, Oct 2023–Feb 2024) with self-reported diagnoses/mental-health items used as a survey-based comparator for adult recognition.","audited"
"mineduc_apuntes59","report","","https://bibliotecadigital.mineduc.cl/handle/20.500.12365/21104","WebFetch of MINEDUC Biblioteca Digital record 20.500.12365/21104 (title 'Apuntes 59: Análisis de la base de datos de la matrícula del Programa de Integración Escolar (PIE), 2023.', authors Arias, Pablo; Figueroa, Isabel; Pérez, Joaquín; corporate author 'Chile. Ministerio de Educación. Centro de Estudios MINEDUC (CEM)'; date issued 2024-08; file APUNTES 59_2024_fd01.pdf); Centro de Estudios post https://centroestudios.mineduc.cl/2024/08/14/apuntes-59-y-60-analisis-de-bases-de-datos-programa-de-integracion-escolar/ fetched; local PDF /Volumes/Datos/Asesorias_Data/Autism/Educacion/MINEDUC/APUNTES_59_2024_PIE_sexo_2023.pdf read with pdftotext: 'Análisis de la base de datos de la matrícula del Programa de Integración Escolar (PIE), 2023 / 59 / Agosto 2024 / APUNTES 59-2024'; PDF URL HEAD 200 (Last-Modified 2024-08-14) || RE-AUDIT 2026-09-04: DSpace record re-fetched with curl (HTTP 200): DC.title 'Apuntes 59: Análisis de la base de datos de la matrícula del Programa de Integración Escolar (PIE), 2023.', DC.creator Arias, Pablo / Figueroa, Isabel / Pérez, Joaquín, DC.contributor 'Chile. Ministerio de Educación. Centro de Estudios MINEDUC (CEM)', DC.date 2024-08, DC.relation Apuntes;59; bitstream APUNTES%2059_2024_fd01.pdf HEAD 200 (Last-Modified 2024-08-14); local PDF /Volumes/Datos/Asesorias_Data/Autism/Educacion/MINEDUC/APUNTES_59_2024_PIE_sexo_2023.pdf read with pdftotext (title, '59', 'Agosto 2024', 473.006 PIE students, TEA 80,1%/19,9%). Author field rewritten in BibTeX 'and' form (corporate affiliation moved to institution); number/month/address fields added","https://bibliotecadigital.mineduc.cl/handle/20.500.12365/21104","2026-09-04","core","Official education-system figures: 473,006 PIE students in 2023 and the sex split for 'Trastorno del Espectro Autista' (80.1% boys, 19.9% girls) and 'Asperger' (82.2%/17.8%), directly comparable with the health-sector male:female ratios.","audited"
