Estimand,Source,Variant,Outcome (numerator),Denominator / offset,Panel,Activity,Code position,Covariates,Years,n (obs.),APC % (95% CI),p value (Wald),Dispersion (Pearson χ²/df),Durbin–Watson,Model family,Note
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Principal,2020–2021 reporting-disruption indicator,2019–2024,6,14.8 (11.6 to 18.2),< 0.001,0.58,1.41,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Principal,Mean coding depth + 2020–2021 disruption indicator,2019–2024,6,0.7 (−16.1 to 20.9),0.937,0.44,2.60,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Principal,No covariates,2021–2024,4,13.6 (7.4 to 20.2),< 0.001,0.85,2.00,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Principal,Mean coding depth (centred),2021–2024,4,18.5 (18.4 to 18.6),< 0.001,0.00,3.39,Quasi-Poisson log-linear,"One residual degree of freedom: dispersion very unstable. No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,Strict hospitalisation,Any position,No covariates,2019–2024,6,44.8 (38.7 to 51.2),< 0.001,19.62,2.45,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,Strict hospitalisation,Any position,Mean coding depth (centred),2019–2024,6,56.9 (37.1 to 79.5),< 0.001,17.35,2.63,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,Strict hospitalisation,Any position,2020–2021 reporting-disruption indicator,2019–2024,6,42.2 (35.4 to 49.2),< 0.001,17.08,3.08,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,Strict hospitalisation,Any position,Mean coding depth + 2020–2021 disruption indicator,2019–2024,6,47.1 (−12.1 to 146.2),0.142,25.35,2.94,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,Strict hospitalisation,Any position,No covariates,2021–2024,4,43.2 (32.8 to 54.3),< 0.001,24.06,2.53,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,Strict hospitalisation,Any position,Mean coding depth (centred),2021–2024,4,58.6 (32.5 to 89.9),< 0.001,19.06,3.40,Quasi-Poisson log-linear,"One residual degree of freedom: dispersion very unstable. No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,Strict hospitalisation,Principal,No covariates,2019–2024,6,18.1 (14.4 to 22.0),< 0.001,0.87,1.89,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,Strict hospitalisation,Principal,Mean coding depth (centred),2019–2024,6,24.4 (12.5 to 37.6),< 0.001,0.84,1.42,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,Strict hospitalisation,Principal,2020–2021 reporting-disruption indicator,2019–2024,6,16.6 (13.2 to 20.2),< 0.001,0.60,1.36,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,Strict hospitalisation,Principal,Mean coding depth + 2020–2021 disruption indicator,2019–2024,6,0.9 (−25.0 to 35.6),0.954,0.61,2.30,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,Strict hospitalisation,Principal,No covariates,2021–2024,4,16.6 (9.0 to 24.7),< 0.001,1.22,2.00,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,Strict hospitalisation,Principal,Mean coding depth (centred),2021–2024,4,29.9 (29.0 to 30.8),< 0.001,0.00,3.40,Quasi-Poisson log-linear,"One residual degree of freedom: dispersion very unstable. No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Any position,No covariates,2019–2024,6,44.0 (38.6 to 49.5),< 0.001,17.20,2.55,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Any position,Mean coding depth (centred),2019–2024,6,50.7 (40.7 to 61.5),< 0.001,13.13,3.02,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Any position,2020–2021 reporting-disruption indicator,2019–2024,6,41.7 (36.1 to 47.6),< 0.001,14.27,3.44,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Any position,Mean coding depth + 2020–2021 disruption indicator,2019–2024,6,50.7 (11.8 to 103.3),0.007,19.70,3.01,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Any position,No covariates,2021–2024,4,43.4 (35.0 to 52.3),< 0.001,17.06,2.72,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Any position,Mean coding depth (centred),2021–2024,4,48.6 (34.3 to 64.4),< 0.001,18.57,3.40,Quasi-Poisson log-linear,"One residual degree of freedom: dispersion very unstable. No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Principal,No covariates,2019–2024,6,15.7 (12.9 to 18.6),< 0.001,0.55,1.78,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Principal,Mean coding depth (centred),2019–2024,6,17.3 (10.9 to 24.0),< 0.001,0.66,1.53,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Principal,2020–2021 reporting-disruption indicator,2019–2024,6,15.0 (11.8 to 18.3),< 0.001,0.56,1.44,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Principal,Mean coding depth + 2020–2021 disruption indicator,2019–2024,6,2.5 (−14.9 to 23.5),0.797,0.48,2.55,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Principal,No covariates,2021–2024,4,13.9 (7.6 to 20.6),< 0.001,0.85,1.99,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Principal,Mean coding depth (centred),2021–2024,4,18.6 (18.5 to 18.8),< 0.001,0.00,3.40,Quasi-Poisson log-linear,"One residual degree of freedom: dispersion very unstable. No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,Strict hospitalisation,Any position,No covariates,2019–2024,6,45.1 (38.9 to 51.5),< 0.001,19.50,2.46,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,Strict hospitalisation,Any position,Mean coding depth (centred),2019–2024,6,57.3 (38.0 to 79.2),< 0.001,16.75,2.67,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,Strict hospitalisation,Any position,2020–2021 reporting-disruption indicator,2019–2024,6,42.4 (35.7 to 49.5),< 0.001,16.91,3.12,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,Strict hospitalisation,Any position,Mean coding depth + 2020–2021 disruption indicator,2019–2024,6,49.9 (−7.8 to 143.9),0.103,24.74,2.91,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,Strict hospitalisation,Any position,No covariates,2021–2024,4,43.6 (33.2 to 54.8),< 0.001,23.96,2.55,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,Strict hospitalisation,Any position,Mean coding depth (centred),2021–2024,4,58.8 (33.5 to 88.9),< 0.001,18.44,3.40,Quasi-Poisson log-linear,"One residual degree of freedom: dispersion very unstable. No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,Strict hospitalisation,Principal,No covariates,2019–2024,6,18.2 (14.4 to 22.1),< 0.001,0.87,1.89,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,Strict hospitalisation,Principal,Mean coding depth (centred),2019–2024,6,24.5 (12.8 to 37.5),< 0.001,0.83,1.42,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,Strict hospitalisation,Principal,2020–2021 reporting-disruption indicator,2019–2024,6,16.7 (13.2 to 20.3),< 0.001,0.59,1.38,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,Strict hospitalisation,Principal,Mean coding depth + 2020–2021 disruption indicator,2019–2024,6,2.6 (−23.4 to 37.2),0.865,0.65,2.27,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,Strict hospitalisation,Principal,No covariates,2021–2024,4,16.7 (9.1 to 24.9),< 0.001,1.23,1.99,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,Strict hospitalisation,Principal,Mean coding depth (centred),2021–2024,4,29.8 (28.8 to 30.9),< 0.001,0.00,3.40,Quasi-Poisson log-linear,"One residual degree of freedom: dispersion very unstable. No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
GRD hospital-year: trend with hospital effects,Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,log(hospital-year episodes),Observed annual panel,All activity,Any position,Hospital fixed effects,2019–2024,400,35.9 (33.9 to 38.0),< 0.001,3.83,1.20,Quasi-Poisson with hospital fixed effects,Hospital fixed effects (indicator variables); common trend; RR vs geometric mean of hospitals. Within-hospital Durbin–Watson (consecutive-year pairs). Hospital-level results are descriptive; no causal ecological interpretation. No specification estimates an effect of Law 21.545.
GRD hospital-year: trend with hospital effects,Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,log(hospital-year episodes),Observed annual panel,All activity,Any position,Hospital fixed effects,2019–2024,400,35.9 (32.0 to 40.0),< 0.001,3.83,1.20,"Quasi-Poisson, fixed effects, hospital-clustered SE",Hospital fixed effects (indicator variables); common trend; RR vs geometric mean of hospitals. Within-hospital Durbin–Watson (consecutive-year pairs). Hospital-level results are descriptive; no causal ecological interpretation. No specification estimates an effect of Law 21.545. Hospital-clustered robust SE.
GRD hospital-year: trend with hospital effects,Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,log(hospital-year episodes),Observed annual panel,All activity,Any position,Hospital fixed effects + hospital-year coding depth,2019–2024,400,34.2 (31.6 to 36.8),< 0.001,3.78,1.23,Quasi-Poisson with hospital fixed effects,Hospital fixed effects (indicator variables); common trend; RR vs geometric mean of hospitals. Within-hospital Durbin–Watson (consecutive-year pairs). Hospital-level results are descriptive; no causal ecological interpretation. No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity).
GRD hospital-year: trend with hospital effects,Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,log(hospital-year episodes),Observed annual panel,All activity,Any position,Hospital fixed effects + 2020–2021 indicator,2019–2024,400,33.4 (31.2 to 35.7),< 0.001,3.59,1.22,Quasi-Poisson with hospital fixed effects,Hospital fixed effects (indicator variables); common trend; RR vs geometric mean of hospitals. Within-hospital Durbin–Watson (consecutive-year pairs). Hospital-level results are descriptive; no causal ecological interpretation. No specification estimates an effect of Law 21.545. The 2020–2021 indicator describes reporting disruption; it is not a causal effect.
GRD hospital-year: trend with hospital effects,Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,log(hospital-year episodes),Observed annual panel,All activity,Any position,Hospital random intercept,2019–2024,400,35.9 (34.9 to 37.0),< 0.001,3.15,1.20,Poisson random intercept (Laplace/MAP),"Poisson random intercept with offset (PoissonBayesMixedGLM subclass); converged. Priors: fixed effects N(0, 10²); log-SD of intercept N(0, 1); offset centred on the pooled rate. Poisson likelihood without a dispersion parameter: narrower CI than quasi-Poisson; the dispersion shown is the Pearson χ² conditional on the random effects (MAP) / (n − p − 1), diagnostic only; read as sensitivity. Hospital-level results are descriptive; no causal ecological interpretation. No specification estimates an effect of Law 21.545."
GRD hospital-year: trend with hospital effects,Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,log(hospital-year episodes),Observed annual panel,All activity,Any position,Hospital random intercept + coding depth,2019–2024,400,34.3 (33.0 to 35.7),< 0.001,3.11,1.23,Poisson random intercept (Laplace/MAP),"Poisson random intercept with offset (PoissonBayesMixedGLM subclass); converged. Priors: fixed effects N(0, 10²); log-SD of intercept N(0, 1); offset centred on the pooled rate. Poisson likelihood without a dispersion parameter: narrower CI than quasi-Poisson; the dispersion shown is the Pearson χ² conditional on the random effects (MAP) / (n − p − 1), diagnostic only; read as sensitivity. Hospital-level results are descriptive; no causal ecological interpretation. No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity)."
GRD hospital-year: trend with hospital effects,Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,log(hospital-year episodes),Observed annual panel,All activity,Any position,Hospital fixed effects,2021–2024,270,39.9 (37.1 to 42.8),< 0.001,2.36,1.56,Quasi-Poisson with hospital fixed effects,Hospital fixed effects (indicator variables); common trend; RR vs geometric mean of hospitals. Within-hospital Durbin–Watson (consecutive-year pairs). Hospital-level results are descriptive; no causal ecological interpretation. No specification estimates an effect of Law 21.545.
GRD hospital-year: trend with hospital effects,Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,log(hospital-year episodes),Observed annual panel,All activity,Any position,Hospital fixed effects,2021–2024,270,39.9 (35.1 to 44.9),< 0.001,2.36,1.56,"Quasi-Poisson, fixed effects, hospital-clustered SE",Hospital fixed effects (indicator variables); common trend; RR vs geometric mean of hospitals. Within-hospital Durbin–Watson (consecutive-year pairs). Hospital-level results are descriptive; no causal ecological interpretation. No specification estimates an effect of Law 21.545. Hospital-clustered robust SE.
GRD hospital-year: trend with hospital effects,Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,log(hospital-year episodes),Observed annual panel,All activity,Any position,Hospital fixed effects + hospital-year coding depth,2021–2024,270,39.2 (36.2 to 42.4),< 0.001,2.36,1.57,Quasi-Poisson with hospital fixed effects,Hospital fixed effects (indicator variables); common trend; RR vs geometric mean of hospitals. Within-hospital Durbin–Watson (consecutive-year pairs). Hospital-level results are descriptive; no causal ecological interpretation. No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity).
GRD hospital-year: trend with hospital effects,Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,log(hospital-year episodes),Fixed panel of 65 hospitals,All activity,Any position,Hospital fixed effects,2019–2024,390,35.9 (33.9 to 38.0),< 0.001,3.86,1.20,Quasi-Poisson with hospital fixed effects,Hospital fixed effects (indicator variables); common trend; RR vs geometric mean of hospitals. Within-hospital Durbin–Watson (consecutive-year pairs). Hospital-level results are descriptive; no causal ecological interpretation. No specification estimates an effect of Law 21.545.
GRD hospital-year: trend with hospital effects,Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,log(hospital-year episodes),Fixed panel of 65 hospitals,All activity,Any position,Hospital fixed effects,2019–2024,390,35.9 (32.0 to 40.0),< 0.001,3.86,1.20,"Quasi-Poisson, fixed effects, hospital-clustered SE",Hospital fixed effects (indicator variables); common trend; RR vs geometric mean of hospitals. Within-hospital Durbin–Watson (consecutive-year pairs). Hospital-level results are descriptive; no causal ecological interpretation. No specification estimates an effect of Law 21.545. Hospital-clustered robust SE.
GRD hospital-year: trend with hospital effects,Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,log(hospital-year episodes),Fixed panel of 65 hospitals,All activity,Any position,Hospital fixed effects + hospital-year coding depth,2019–2024,390,34.1 (31.5 to 36.8),< 0.001,3.81,1.23,Quasi-Poisson with hospital fixed effects,Hospital fixed effects (indicator variables); common trend; RR vs geometric mean of hospitals. Within-hospital Durbin–Watson (consecutive-year pairs). Hospital-level results are descriptive; no causal ecological interpretation. No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity).
