File identifier,Kind,Label in the documents,Where it is used,File,Title,Associated data file,Current use
S_a05_standardised_rates,Table,Table S33,supplementary table,sin_rett/en/tables/S_a05_standardised_rates.csv,"REM A05 autism entries per 100,000 population, crude and WHO age-standardised, by sex and year, 2021–2025 — F84 without Rett variant",S_a05_standardised_rates_numeric.csv,06_models.py|prose_es.py|prose_en.py
S_convergence_index,Table,Table S47,supplementary table,sin_rett/en/tables/S_convergence_index.csv,"Growth indices (2021 = 100; 2019 = 100 where the series exists) of administrative autism indicators by system, 2019–2025 — F84 without Rett variant",S_convergence_index_numeric.csv,06_models.py|prose_es.py|prose_en.py
S_definition_breaks,Table,Table S13,supplementary table,sin_rett/en/tables/S_definition_breaks.csv,"Definition, panel and schema breaks by administrative source, 2019–2025",n/e,08a_figures_grd.py|prose_es.py|prose_en.py
S_grd_population_rates,Table,Table S22,supplementary table,sin_rett/en/tables/S_grd_population_rates.csv,"GRD episodes with documented F84 per 100,000 population, crude and WHO age-standardised, by sex and year, 2019–2024 — F84 without Rett variant",S_grd_population_rates_numeric.csv,06_models.py|prose_es.py|prose_en.py
S_hospital_rates_2024,Table,Table S23,supplementary table,sin_rett/en/tables/S_hospital_rates_2024.csv,"Episodes with documented F84 per 100,000 GRD episodes by hospital, 2024, with hospital effects 2019–2024 — F84 without Rett variant",S_hospital_rates_2024_numeric.csv,06_models.py|prose_es.py|prose_en.py
T1_sources,Table,Table S1,supplementary table,sin_rett/en/tables/T1_sources.csv,"Data sources, unit of observation, coverage, definition breaks and absence of person-level linkage, Chile 2019–2025",T1_sources_numeric.csv,09a_tables_main.py|10_manuscript.py|16_extra_tables.py|17_extended_material.py|prose_es.py|prose_en.py
T2_grd_core,Table,Table 1,article table,sin_rett/en/tables/T2_grd_core.csv,"GRD hospital core 2019–2024: episodes with documented F84 by code position, panel, activity, coding depth, persons and population, with sensitivities — F84 family excluding Rett syndrome variant",T2_grd_core_numeric.csv,09a_tables_main.py|prose_es.py|prose_en.py
T3_rem_pathway,Table,Table 2,article table,sin_rett/en/tables/T3_rem_pathway.csv,"Aggregate REM administrative pathway 2019–2025 by module, code and definition era: annual totals and December stocks with reporting establishments — F84 family excluding Rett syndrome variant",T3_rem_pathway_numeric.csv,09a_tables_main.py|prose_es.py|prose_en.py
T4_denominators_coverage,Table,Table 3,article table,sin_rett/en/tables/T4_denominators_coverage.csv,"Denominator and coverage layers by year, Chile 2019–2025: INE population, FONASA/ISAPRE insurance, APS enrolment and REM-20 hospital activity",T4_denominators_coverage_numeric.csv,09a_tables_main.py|prose_es.py|prose_en.py
T5_survey_benchmarks,Table,Table 4,article table,sin_rett/en/tables/T5_survey_benchmarks.csv,Population benchmarks of reported autism with complex survey design: ENDIDE 2022 and ENCAVI 2023–2024,T5_survey_benchmarks_numeric.csv,09a_tables_main.py|prose_es.py|prose_en.py
T6_education,Table,Table 5,article table,sin_rett/en/tables/T6_education.csv,Educational triangulation 2019–2025: students with ASD in the School Integration Programme (Apuntes 60 / SINACES) and weighted percentage of caregiver-reported ASD in JUNAEB's Student Vulnerability Survey by level,T6_education_numeric.csv,09a_tables_main.py|prose_es.py|prose_en.py
T7_models,Table,Table 6,article table,sin_rett/en/tables/T7_models.csv,"Pre-specified models: annual percent change (APC) and 95% CI by estimand and sensitivity, Chile 2019–2025 — F84 family excluding Rett syndrome variant",T7_models_numeric.csv,06_models.py|09a_tables_main.py|10_manuscript.py|16_extra_tables.py|prose_es.py|prose_en.py
T7_models_cpa,Table,not used in the documents,not used in the documents,sin_rett/en/tables/T7_models_cpa.csv,"Annual percent change (APC) of administrative-recognition indicators of autism by estimand and sensitivity, Chile 2019–2025 — F84 without Rett variant",T7_models_cpa_numeric.csv,06_models.py|09a_tables_main.py|10_manuscript.py|16_extra_tables.py|prose_es.py|prose_en.py
T7_models_cpa_full,Table,Table S48,supplementary table,sin_rett/en/tables/T7_models_cpa_full.csv,"Annual percent change (APC) of administrative-recognition indicators of autism by estimand and sensitivity, Chile 2019–2025 — F84 without Rett variant (all specifications)",T7_models_cpa_full_numeric.csv,06_models.py|09a_tables_main.py|10_manuscript.py|16_extra_tables.py|prose_es.py|prose_en.py
T8_controls,Table,Table S49,supplementary table,sin_rett/en/tables/T8_controls.csv,"Reproduction controls: pre-specified protocol values versus values reproduced by the pipeline, by source, indicator and year (205 rows, of which 185 carry a value pre-specified in the protocol and 20 are labelled 'check row' or 'module control' in the indicator column)",T8_controls_numeric.csv,07_controls.py|10_manuscript.py|prose_es.py|prose_en.py|values.py
T8_controls_compact,Table,Table 7,article table,sin_rett/en/tables/T8_controls_compact.csv,"Reproduction controls by indicator family: expected versus observed, status and explanation",n/e,07_controls.py|prose_es.py|prose_en.py
E10_grd_multiplicity,Additional supplementary table,Table S60,supplementary table,sin_rett/en/extra/tables/E10_grd_multiplicity.csv,"GRD episodes with documented F84 per identifier, within each identifier era — F84 family excluding Rett syndrome",E10_grd_multiplicity_numeric.csv,11_grd_episode_detail.py
E11_grd_territory_region,Additional supplementary table,Table S61,supplementary table,sin_rett/en/extra/tables/E11_grd_territory_region.csv,"GRD episodes with documented F84 by declared region of RESIDENCE, 2019–2024 — F84 family excluding Rett syndrome",E11_grd_territory_region_numeric.csv,11_grd_episode_detail.py
E11_rem_a03_codes_by_era,Additional supplementary table,Table S73,supplementary table,sin_rett/en/extra/tables/E11_rem_a03_codes_by_era.csv,"A03 in detail: every primary-care autism screening code by definition era, Chile 2019–2025 — F84 family excluding Rett syndrome",E11_rem_a03_codes_by_era_numeric.csv,14_extra_figures_rem.py|16_extra_tables.py
E12_grd_age_single_year,Additional supplementary table,Table S62,supplementary table,sin_rett/en/extra/tables/E12_grd_age_single_year.csv,"GRD episodes with documented F84 by age band and sex, first and last year of the series — F84 family excluding Rett syndrome",E12_grd_age_single_year_numeric.csv,11_grd_episode_detail.py
E12_rem_a03_risk_referral,Additional supplementary table,Table S74,supplementary table,sin_rett/en/extra/tables/E12_rem_a03_risk_referral.csv,"A03 2023–2025: risk and referral structure of M-CHAT-R/F screening by definition era, Chile — F84 family excluding Rett syndrome",E12_rem_a03_risk_referral_numeric.csv,14_extra_figures_rem.py
E13_rem_a05_regional,Additional supplementary table,Table S75,supplementary table,sin_rett/en/extra/tables/E13_rem_a05_regional.csv,"A05 regional: mental-health programme entries for autism by region and year, Chile 2021–2025 — F84 family excluding Rett syndrome",E13_rem_a05_regional_numeric.csv,14_extra_figures_rem.py
E14_rem_a05_age_sex,Additional supplementary table,Table S76,supplementary table,sin_rett/en/extra/tables/E14_rem_a05_age_sex.csv,"A05 by age and sex: autism entries in 17 WHO age groups, standardised rates and male-to-female ratio, Chile 2021–2025 — F84 family excluding Rett syndrome",E14_rem_a05_age_sex_numeric.csv,14_extra_figures_rem.py
E15_rem_p2_p6_detail,Additional supplementary table,Table S77,supplementary table,sin_rett/en/extra/tables/E15_rem_p2_p6_detail.csv,"P2 and P6 in detail: ASD population under control in the public network, December stock, Chile 2019–2025 — F84 family excluding Rett syndrome",E15_rem_p2_p6_detail_numeric.csv,14_extra_figures_rem.py
E16_rem_a27_a28_regional,Additional supplementary table,Table S78,supplementary table,sin_rett/en/extra/tables/E16_rem_a27_a28_regional.csv,"A27 and A28 by region: screening counselling and assisted referral and ASD rehabilitation entries, Chile 2023–2025 — F84 family excluding Rett syndrome",E16_rem_a27_a28_regional_numeric.csv,14_extra_figures_rem.py
E17_rem_establishment_distribution,Additional supplementary table,Table S79,supplementary table,sin_rett/en/extra/tables/E17_rem_establishment_distribution.csv,"Distribution of REM activity across establishments: Lorenz curves, top decile and thresholds, Chile 2019–2025 — F84 family excluding Rett syndrome",E17_rem_establishment_distribution_numeric.csv,14_extra_figures_rem.py
E18_rem_monthly_series,Additional supplementary table,Table S80,supplementary table,sin_rett/en/extra/tables/E18_rem_monthly_series.csv,"Monthly REM series: A05 entries, A03 screening and A28 rehabilitation by month, seasonality and the 2020 disruption, Chile 2019–2025 — F84 family excluding Rett syndrome",E18_rem_monthly_series_numeric.csv,14_extra_figures_rem.py
E19_rem_definition_era_sensitivity,Additional supplementary table,Table S81,supplementary table,sin_rett/en/extra/tables/E19_rem_definition_era_sensitivity.csv,"Definition-era sensitivity: every REM indicator under strict autism, the variant PDD family and the broad pre-2021 category, Chile 2019–2025 — F84 family excluding Rett syndrome",E19_rem_definition_era_sensitivity_numeric.csv,14_extra_figures_rem.py
E1_grd_seasonality,Additional supplementary table,Table S51,supplementary table,sin_rett/en/extra/tables/E1_grd_seasonality.csv,"GRD episodes with documented F84 by month of admission and within-year seasonal index, 2019–2024 — F84 family excluding Rett syndrome",E1_grd_seasonality_numeric.csv,11_grd_episode_detail.py
E20_population_structure,Additional supplementary table,Table S82,supplementary table,sin_rett/en/extra/tables/E20_population_structure.csv,"Structure of the reference population (INE 30 June projection, Censo 2017 base), 2019 and 2025 — F84 family excluding Rett syndrome",E20_population_structure_numeric.csv,15_extra_figures_context.py
E21_insurance_coverage,Additional supplementary table,Table S83,supplementary table,sin_rett/en/extra/tables/E21_insurance_coverage.csv,"Insurance layers and operational coverage (December stocks), 2019–2025 — F84 family excluding Rett syndrome",E21_insurance_coverage_numeric.csv,15_extra_figures_context.py
E22_rem20_capacity,Additional supplementary table,Table S84,supplementary table,sin_rett/en/extra/tables/E22_rem20_capacity.csv,"REM-20 hospital activity and capacity and its ecological relationship with GRD episodes with F84, 2019–2025 — F84 family excluding Rett syndrome",E22_rem20_capacity_numeric.csv,15_extra_figures_context.py
E23_surveys_detail,Additional supplementary table,Table S85,supplementary table,sin_rett/en/extra/tables/E23_surveys_detail.csv,"ENDIDE 2022 and ENCAVI 2023–2024 with complex sampling design: estimates, precision and flagged domains — F84 family excluding Rett syndrome",E23_surveys_detail_numeric.csv,15_extra_figures_context.py
E24_education_detail,Additional supplementary table,Table S86,supplementary table,sin_rett/en/extra/tables/E24_education_detail.csv,"Educational recognition of autism: PIE, SINACES and special schools, 2019–2025 — F84 family excluding Rett syndrome",E24_education_detail_numeric.csv,15_extra_figures_context.py
E25_junaeb_detail,Additional supplementary table,Table S87,supplementary table,sin_rett/en/extra/tables/E25_junaeb_detail.csv,"JUNAEB EVE: percentage of students with caregiver-reported autism by level, year and sex, 2019–2025 — F84 family excluding Rett syndrome",E25_junaeb_detail_numeric.csv,15_extra_figures_context.py
E26_cross_source,Additional supplementary table,Table S88,supplementary table,sin_rett/en/extra/tables/E26_cross_source.csv,"Comparison across administrative systems: annual value, value per 100,000 residents and value per reporting unit, 2019–2025 — F84 family excluding Rett syndrome",E26_cross_source_numeric.csv,15_extra_figures_context.py
E26b_sex_ratio_multisource,Additional supplementary table,Table S89,supplementary table,sin_rett/en/extra/tables/E26b_sex_ratio_multisource.csv,"Male-to-female ratio of administrative autism recognition in every source that reports sex, 2019–2025 — F84 family excluding Rett syndrome",E26b_sex_ratio_multisource_numeric.csv,15_extra_figures_context.py
E27_model_diagnostics,Additional supplementary table,Table S90,supplementary table,sin_rett/en/extra/tables/E27_model_diagnostics.csv,Quasi-Poisson models: main specification by estimand and diagnostics across specifications — F84 family excluding Rett syndrome,E27_model_diagnostics_numeric.csv,15_extra_figures_context.py
E28_variant_sensitivity,Additional supplementary table,Table S91,supplementary table,sin_rett/en/extra/tables/E28_variant_sensitivity.csv,"Sensitivity of every series to the case-definition variant: full F84 (with Rett syndrome) versus F84 without Rett, 2019–2025",E28_variant_sensitivity_numeric.csv,15_extra_figures_context.py
E2_grd_length_of_stay,Additional supplementary table,Table S52,supplementary table,sin_rett/en/extra/tables/E2_grd_length_of_stay.csv,"Length of stay of GRD episodes with documented F84 and of all GRD episodes, 2019–2024 — F84 family excluding Rett syndrome",E2_grd_length_of_stay_numeric.csv,11_grd_episode_detail.py
E3_grd_los_by_age,Additional supplementary table,Table S53,supplementary table,sin_rett/en/extra/tables/E3_grd_los_by_age.csv,"Length of stay by five-year WHO age group, episodes with documented F84 and all GRD episodes, 2019–2024 — F84 family excluding Rett syndrome",E3_grd_los_by_age_numeric.csv,11_grd_episode_detail.py
E40_grd_smoothed_ratio_comuna,Additional supplementary table,Table S92,supplementary table,sin_rett/en/extra/tables/E40_grd_smoothed_ratio_comuna.csv,"GRD episodes with documented F84 by comuna of residence: observed, expected, rate and standardised ratios, Chile 2019–2024 — F84 family excluding Rett syndrome",E40_grd_smoothed_ratio_comuna_numeric.csv,15b_spatial_correlation.py|prose_es.py|prose_en.py
E41_rem_comuna_place_of_care,Additional supplementary table,Table S93,supplementary table,sin_rett/en/extra/tables/E41_rem_comuna_place_of_care.csv,"REM autism indicators by comuna of the establishment: A05, P2 and P6, Chile 2019–2025 — F84 family excluding Rett syndrome",E41_rem_comuna_place_of_care_numeric.csv,15b_spatial_correlation.py
E42_local_class_counts,Additional supplementary table,Table S94,supplementary table,sin_rett/en/extra/tables/E42_local_class_counts.csv,Comunas per class of the local indicators (LISA and Gi*) and Benjamini–Hochberg threshold — F84 family excluding Rett syndrome,E42_local_class_counts_numeric.csv,15b_spatial_correlation.py
E43_moran_sensitivity_main,Additional supplementary table,Table S95,supplementary table,sin_rett/en/extra/tables/E43_moran_sensitivity_main.csv,"Moran's I of the main indicator: weight definition, value type, period and sensitivity analyses — F84 family excluding Rett syndrome",E43_moran_sensitivity_main_numeric.csv,15b_spatial_correlation.py
E44_correlation_matrix_comuna,Additional supplementary table,Table S96,supplementary table,sin_rett/en/extra/tables/E44_correlation_matrix_comuna.csv,"Matrix of Spearman's rho between territorial indicators, comunas and regions — F84 family excluding Rett syndrome",E44_correlation_matrix_comuna_numeric.csv,15b_spatial_correlation.py
E45_bivariate_moran_pairs,Additional supplementary table,Table S97,supplementary table,sin_rett/en/extra/tables/E45_bivariate_moran_pairs.csv,Bivariate Moran's I of every pair of territorial indicators — F84 family excluding Rett syndrome,E45_bivariate_moran_pairs_numeric.csv,15b_spatial_correlation.py
E46_sae_association,Additional supplementary table,Table S98,supplementary table,sin_rett/en/extra/tables/E46_sae_association.csv,Ecological association of each territorial indicator with SAE 2024 comuna deprivation and urbanicity — F84 family excluding Rett syndrome,E46_sae_association_numeric.csv,15b_spatial_correlation.py
E47_inequality_gini_theil,Additional supplementary table,Table S99,supplementary table,sin_rett/en/extra/tables/E47_inequality_gini_theil.csv,"Territorial inequality: Gini, decomposed Theil index and decile ratio, by source and year — F84 family excluding Rett syndrome",E47_inequality_gini_theil_numeric.csv,15b_spatial_correlation.py
E48_rank_stability,Additional supplementary table,Table S100,supplementary table,sin_rett/en/extra/tables/E48_rank_stability.csv,Stability of the territorial ranking between years and between periods — F84 family excluding Rett syndrome,E48_rank_stability_numeric.csv,15b_spatial_correlation.py
E49_regional_summary,Additional supplementary table,Table S101,supplementary table,sin_rett/en/extra/tables/E49_regional_summary.csv,"Regional summary: observed, expected, rates and standardised ratios with intervals — F84 family excluding Rett syndrome",E49_regional_summary_numeric.csv,15b_spatial_correlation.py|prose_es.py|prose_en.py
E4_grd_episode_features,Additional supplementary table,Table S54,supplementary table,sin_rett/en/extra/tables/E4_grd_episode_features.csv,"Administrative characteristics of GRD episodes with documented F84, 2019–2024, with all GRD episodes as comparison — F84 family excluding Rett syndrome",E4_grd_episode_features_numeric.csv,10_manuscript.py|11_grd_episode_detail.py
E50_moran_gistar_all,Additional supplementary table,Table S102,supplementary table,sin_rett/en/extra/tables/E50_moran_gistar_all.csv,Every spatial-autocorrelation statistic computed: global Moran's I and Gi* classes — F84 family excluding Rett syndrome,E50_moran_gistar_all_numeric.csv,15b_spatial_correlation.py
E51_lisa_significant_comunas,Additional supplementary table,Table S103,supplementary table,sin_rett/en/extra/tables/E51_lisa_significant_comunas.csv,"Comunas with a significant local cluster (LISA or Gi*, Benjamini–Hochberg q < 0.05) — F84 family excluding Rett syndrome",E51_lisa_significant_comunas_numeric.csv,15b_spatial_correlation.py|prose_es.py|prose_en.py
E5_grd_weight_and_groups,Additional supplementary table,Table S55,supplementary table,sin_rett/en/extra/tables/E5_grd_weight_and_groups.csv,"IR-29301 relative weight and 15 most frequent GRD groups among episodes with documented F84, 2019–2024 — F84 family excluding Rett syndrome",E5_grd_weight_and_groups_numeric.csv,11_grd_episode_detail.py
E60_grd_annual_full,Additional supplementary table,Table S104,supplementary table,sin_rett/en/extra/tables/E60_grd_annual_full.csv,"Complete annual series of GRD episodes with documented F84 by series, panel, activity and code position, 2019–2024 — F84 family excluding Rett syndrome",E60_grd_annual_full_numeric.csv,17_extended_material.py
E61_grd_hospital_year_full,Additional supplementary table,Table S105,supplementary table,sin_rett/en/extra/tables/E61_grd_hospital_year_full.csv,"GRD episodes with documented F84 by hospital and year, with rates, intervals and fixed-panel membership (all observed hospitals), 2019–2024 — F84 family excluding Rett syndrome",E61_grd_hospital_year_full_numeric.csv,not cited by any manuscript script (supplementary registry only)
E62_grd_region_population_rates,Additional supplementary table,Table S106,supplementary table,sin_rett/en/extra/tables/E62_grd_region_population_rates.csv,"GRD episodes with documented F84 by declared region of residence and year, with INE population rates, 2019–2024 — F84 family excluding Rett syndrome",E62_grd_region_population_rates_numeric.csv,not cited by any manuscript script (supplementary registry only)
E63_grd_age_single_sex_full,Additional supplementary table,Table S107,supplementary table,sin_rett/en/extra/tables/E63_grd_age_single_sex_full.csv,"GRD episodes with documented F84 by single year of age and sex, 2019–2024 — F84 family excluding Rett syndrome",E63_grd_age_single_sex_full_numeric.csv,not cited by any manuscript script (supplementary registry only)
E64_grd_codiagnoses_full,Additional supplementary table,Table S108,supplementary table,sin_rett/en/extra/tables/E64_grd_codiagnoses_full.csv,"Complete list of ICD-10 co-diagnoses with at least 20 episodes among GRD episodes with documented F84, 2019–2024 — F84 family excluding Rett syndrome",E64_grd_codiagnoses_full_numeric.csv,not cited by any manuscript script (supplementary registry only)
E65_grd_episode_features_full,Additional supplementary table,Table S109,supplementary table,sin_rett/en/extra/tables/E65_grd_episode_features_full.csv,"Complete distribution of administrative characteristics of GRD episodes with documented F84, 2019–2024 — F84 family excluding Rett syndrome",E65_grd_episode_features_full_numeric.csv,not cited by any manuscript script (supplementary registry only)
E66_grd_length_of_stay_full,Additional supplementary table,Table S110,supplementary table,sin_rett/en/extra/tables/E66_grd_length_of_stay_full.csv,"Length of stay by year, code position, activity and five-year WHO age group, 2019–2024 — F84 family excluding Rett syndrome",E66_grd_length_of_stay_full_numeric.csv,not cited by any manuscript script (supplementary registry only)
E67_grd_readmission_full,Additional supplementary table,Table S111,supplementary table,sin_rett/en/extra/tables/E67_grd_readmission_full.csv,"Hospital readmissions after a GRD discharge with documented F84, by identifier era, year and horizon — F84 family excluding Rett syndrome",E67_grd_readmission_full_numeric.csv,not cited by any manuscript script (supplementary registry only)
E68_grd_multiplicity_full,Additional supplementary table,Table S112,supplementary table,sin_rett/en/extra/tables/E68_grd_multiplicity_full.csv,"Multiplicity: GRD episodes with documented F84 per identifier, within each identifier era — F84 family excluding Rett syndrome",E68_grd_multiplicity_full_numeric.csv,not cited by any manuscript script (supplementary registry only)
E69_rem_code_year_full,Additional supplementary table,Table S113,supplementary table,sin_rett/en/extra/tables/E69_rem_code_year_full.csv,"Complete REM table: code × year with totals, reporting establishments, stable-panel total and definition era, 2019–2025 — F84 family excluding Rett syndrome",E69_rem_code_year_full_numeric.csv,17_extended_material.py
E6_grd_codiagnoses_top25,Additional supplementary table,Table S56,supplementary table,sin_rett/en/extra/tables/E6_grd_codiagnoses_top25.csv,"25 most frequent ICD-10 co-diagnoses in GRD episodes with documented F84, 2019–2024 — F84 family excluding Rett syndrome",E6_grd_codiagnoses_top25_numeric.csv,11_grd_episode_detail.py
E70_rem_a05_age_sex_full,Additional supplementary table,Table S114,supplementary table,sin_rett/en/extra/tables/E70_rem_a05_age_sex_full.csv,"REM A05: entries and exits by age, sex, category and year, 2021–2025 (broad PDD 2019–2020 as a separate series) — F84 family excluding Rett syndrome",E70_rem_a05_age_sex_full_numeric.csv,not cited by any manuscript script (supplementary registry only)
E71_rem_p2_p6_region_year,Additional supplementary table,Table S115,supplementary table,sin_rett/en/extra/tables/E71_rem_p2_p6_region_year.csv,"REM P2 and P6: persons under control in December by region of the establishment, year and definition era, 2019–2025 — F84 family excluding Rett syndrome",E71_rem_p2_p6_region_year_numeric.csv,not cited by any manuscript script (supplementary registry only)
E72_rem_establishments_by_module,Additional supplementary table,Table S116,supplementary table,sin_rett/en/extra/tables/E72_rem_establishments_by_module.csv,"Reporting establishments by REM module and year, with the stable panel and the number of codes in force, 2019–2025",E72_rem_establishments_by_module_numeric.csv,not cited by any manuscript script (supplementary registry only)
E73_denominator_layers_full,Additional supplementary table,Table S117,supplementary table,sin_rett/en/extra/tables/E73_denominator_layers_full.csv,"Denominator layers by year, region, age group and sex: INE population, FONASA beneficiaries, ISAPRE beneficiaries and APS enrollees, 2019–2025",E73_denominator_layers_full_numeric.csv,not cited by any manuscript script (supplementary registry only)
E74_coverage_harmonisation_rules,Additional supplementary table,Table S118,supplementary table,sin_rett/en/extra/tables/E74_coverage_harmonisation_rules.csv,"Harmonisation rules for FONASA, APS enrolment and ISAPRE by year: file, scheme, key columns, December total and aggregation rule",E74_coverage_harmonisation_rules_numeric.csv,not cited by any manuscript script (supplementary registry only)
E75_survey_estimates_full,Additional supplementary table,Table S119,supplementary table,sin_rett/en/extra/tables/E75_survey_estimates_full.csv,"Population survey estimates (ENDIDE 2022 and ENCAVI 2023–2024): every domain and subgroup with design variables, DEFF, relative standard error and precision flags",E75_survey_estimates_full_numeric.csv,not cited by any manuscript script (supplementary registry only)
E76_education_pie_full,Additional supplementary table,Table S120,supplementary table,sin_rett/en/extra/tables/E76_education_pie_full.csv,"Education: complete PIE series by definition and year (strict ASD, ASD-Asperger, harmonised, special schools and published denominators), 2019–2025",E76_education_pie_full_numeric.csv,not cited by any manuscript script (supplementary registry only)
E77_education_junaeb_full,Additional supplementary table,Table S121,supplementary table,sin_rett/en/extra/tables/E77_education_junaeb_full.csv,"Education: JUNAEB survey by year, level and sex, with weighted proportions, intervals and estimability states, 2019–2025",E77_education_junaeb_full_numeric.csv,not cited by any manuscript script (supplementary registry only)
E78_models_all_specifications,Additional supplementary table,Table S122,supplementary table,sin_rett/en/extra/tables/E78_models_all_specifications.csv,"Model table: every fitted specification, with estimand, source, denominator, panel, covariates, APC with 95% CI, dispersion and diagnostics — F84 family excluding Rett syndrome",E78_models_all_specifications_numeric.csv,17_extended_material.py
E79_reproduction_controls_by_family,Additional supplementary table,Table S123,supplementary table,sin_rett/en/extra/tables/E79_reproduction_controls_by_family.csv,"Reproduction controls by module and family: number of checks, reproduced, with a documented difference and informative (611 families)",E79_reproduction_controls_by_family_numeric.csv,not cited by any manuscript script (supplementary registry only)
E7_grd_codiagnosis_chapters,Additional supplementary table,Table S57,supplementary table,sin_rett/en/extra/tables/E7_grd_codiagnosis_chapters.csv,"Co-diagnoses by ICD-10 chapter and mental-health block in GRD episodes with documented F84, 2019–2024 — F84 family excluding Rett syndrome",E7_grd_codiagnosis_chapters_numeric.csv,11_grd_episode_detail.py
E80_tidy_data_dictionary,Additional supplementary table,Table S124,supplementary table,sin_rett/en/extra/tables/E80_tidy_data_dictionary.csv,"Data dictionary: the 88 tidy files of the study with their columns, unit, denominator, geography and producing script",E80_tidy_data_dictionary_numeric.csv,not cited by any manuscript script (supplementary registry only)
E81_project_asset_inventory,Additional supplementary table,Table S125,supplementary table,sin_rett/en/extra/tables/E81_project_asset_inventory.csv,"Inventory of every figure, table and equation of the project (240 files) with its path, its current label resolved in the shared registry, where it is used, its title, its associated data file and the scripts that cite it",E81_project_asset_inventory_numeric.csv,17_extended_material.py
E8_grd_principal_when_secondary,Additional supplementary table,Table S58,supplementary table,sin_rett/en/extra/tables/E8_grd_principal_when_secondary.csv,"Principal diagnosis of GRD episodes in which F84 appears only as a secondary diagnosis, 2019–2024 — F84 family excluding Rett syndrome",E8_grd_principal_when_secondary_numeric.csv,11_grd_episode_detail.py
E9_grd_readmission,Additional supplementary table,Table S59,supplementary table,sin_rett/en/extra/tables/E9_grd_readmission.csv,"Hospital readmissions after a GRD discharge with documented F84, by identifier era and horizon — F84 family excluding Rett syndrome",E9_grd_readmission_numeric.csv,11_grd_episode_detail.py
EF10_deis_detail,Additional supplementary table,Table S72,supplementary table,sin_rett/en/extra/tables/EF10_deis_detail.csv,Companion table of plate EF10. DEIS discharges with F84 as principal diagnosis: detail and comparison with GRD — F84 family excluding Rett syndrome,EF10_deis_detail_numeric.csv,13_extra_figures_hospital.py
EF1_seasonality_monthly,Additional supplementary table,Table S63,supplementary table,sin_rett/en/extra/tables/EF1_seasonality_monthly.csv,Companion table of plate EF1. Seasonality and monthly series of GRD episodes with documented F84 — F84 family excluding Rett syndrome,EF1_seasonality_monthly_numeric.csv,13_extra_figures_hospital.py|16_extra_tables.py
EF2_length_of_stay,Additional supplementary table,Table S64,supplementary table,sin_rett/en/extra/tables/EF2_length_of_stay.csv,Companion table of plate EF2. Length of stay of episodes with documented F84 — F84 family excluding Rett syndrome,EF2_length_of_stay_numeric.csv,13_extra_figures_hospital.py
EF3_episode_features,Additional supplementary table,Table S65,supplementary table,sin_rett/en/extra/tables/EF3_episode_features.csv,Companion table of plate EF3. Administrative characteristics of the episode: documented F84 versus all GRD episodes — F84 family excluding Rett syndrome,EF3_episode_features_numeric.csv,13_extra_figures_hospital.py
EF4_severity_weight,Additional supplementary table,Table S66,supplementary table,sin_rett/en/extra/tables/EF4_severity_weight.csv,"Companion table of plate EF4. Severity, IR-29301 mortality risk, GRD weight and in-hospital lethality — F84 family excluding Rett syndrome",EF4_severity_weight_numeric.csv,13_extra_figures_hospital.py
EF5_codiagnoses,Additional supplementary table,Table S67,supplementary table,sin_rett/en/extra/tables/EF5_codiagnoses.csv,Companion table of plate EF5. Co-diagnoses of episodes with documented F84 — F84 family excluding Rett syndrome,EF5_codiagnoses_numeric.csv,13_extra_figures_hospital.py
EF6_readmission_multiplicity,Additional supplementary table,Table S68,supplementary table,sin_rett/en/extra/tables/EF6_readmission_multiplicity.csv,Companion table of plate EF6. Readmission and multiplicity of episodes per identifier — F84 family excluding Rett syndrome,EF6_readmission_multiplicity_numeric.csv,13_extra_figures_hospital.py
EF7_age_detail,Additional supplementary table,Table S69,supplementary table,sin_rett/en/extra/tables/EF7_age_detail.csv,Companion table of plate EF7. Age detail of episodes with documented F84 — F84 family excluding Rett syndrome,EF7_age_detail_numeric.csv,13_extra_figures_hospital.py
EF8_hospitals,Additional supplementary table,Table S70,supplementary table,sin_rett/en/extra/tables/EF8_hospitals.csv,"Companion table of plate EF8. GRD panel hospitals: rates, rank stability and concentration — F84 family excluding Rett syndrome",EF8_hospitals_numeric.csv,13_extra_figures_hospital.py
EF9_territory,Additional supplementary table,Table S71,supplementary table,sin_rett/en/extra/tables/EF9_territory.csv,Companion table of plate EF9. Territory: episodes and persons by reported region and comuna of residence — F84 family excluding Rett syndrome,EF9_territory_numeric.csv,13_extra_figures_hospital.py
M10_reproduction_controls,Additional supplementary table,Table S12,supplementary table,sin_rett/en/extra/tables/M10_reproduction_controls.csv,"Reproduction controls by module, across the 22 control files of the whole pipeline (expected against observed)",M10_reproduction_controls_numeric.csv,prose_methods_extended.py
M1_sources_units,Additional supplementary table,Table S3,supplementary table,sin_rett/en/extra/tables/M1_sources_units.csv,"Sources, unit of observation, geography and the impossibility of individual linkage",M1_sources_units_numeric.csv,prose_methods_extended.py
M2_case_definitions,Additional supplementary table,Table S4,supplementary table,sin_rett/en/extra/tables/M2_case_definitions.csv,Hospital case definition: F84 subcodes by variant (F84 family excluding Rett syndrome),M2_case_definitions_numeric.csv,prose_methods_extended.py
